,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STATEMENT OF RECEIPTS AND EXPENDITURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,by LGU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FY 2024 (Final),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,In Php Million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, REGION, PROVINCE, LGU NAME, LGU TYPE, CURRENT OPERATING INCOME,,,,,,,,,,,,,,,,,,, TOTAL CURRENT OPERATING EXPENDITURES,,,,,,,,, NET OPERATING INCOME/ (LOSS) FROM CURRENT OPERATIONS, NON-INCOME RECEIPTS,,,,,,,,, NON-OPERATING EXPENDITURES,,,,,,,,, NET INCREASE/ (DECREASE) IN FUNDS," ADD: CASH BALANCE, BEGINNING", FUND/ CASH AVAILABLE, Less: Payment of Prior Year/s Accounts Payable, CONTINUING  APPROPRIATION," FUND/ CASH BALANCE, END"
,,,,, LOCAL SOURCES,,,,,,,,,,,, EXTERNAL SOURCES,,,,, TOTAL CURRENT OPERATING INCOME, GENERAL PUBLIC SERVICES,SOCIAL SERVICES,,,,,,ECONOMIC SERVICES, DEBT SERVICE (Interest Expense & Other Charges), TOTAL CURRENT OPERATING EXPENDITURES,, CAPITAL/ INVESTMENT RECEIPTS,,,, RECEIPTS FROM LOANS AND BORROWINGS,,, Other Non-Income Receipts, TOTAL NON-INCOME RECEIPTS, CAPITAL/ INVESTMENT EXPENDITURES,,,, DEBT SERVICE (Principal Cost),,, Other Non-Operating Expenditures, TOTAL NON-OPERATING EXPENDITURES,,,,,,
,,,,, TAX REVENUE,,,,,, NON-TAX REVENUE,,,,, TOTAL LOCAL SOURCES, National Tax Allotment, Other Shares from National Tax Collection, Inter-Local Transfers, Extraordinary Receipts/ Grants/ Donations/ Aids, TOTAL EXTERNAL SOURCES,,,,,,,,,,,,, Proceeds from Sale of Assets, Proceeds from Sale of Debt Securities of Other Entities, Collection of Loans Receivables, TOTAL CAPITAL/INVESTMENT RECEIPTS, Acquisition of Loans, Issuance of Bonds, TOTAL RECEIPTS FROM LOANS AND BORROWINGS,,, Purchase/ Construct of Property Plant and Equipment  (Assets/ Capital Outlay), Purchase of Debt Securities of Other Entities (Investment Outlay), Grant/ Make Loan to Other Entities (Investment Outlay), TOTAL CAPITAL/ INVESTMENT EXPENDITURES, Payment of Loan Amortization, Retirement/ Redemption of Bonds/ Debt Securities, TOTAL DEBT SERVICE (Principal Cost),,,,,,,,
,,,,, Real Property Tax,,, Tax on Business, Other Taxes, Total Tax Revenue, Regulatory Fees, Service/ User Charges, Receipts from Economic Enterprises, Other Receipts, Total Non-Tax Revenue,,,,,,,,," Education, Culture & Sports/ Manpower Development"," Health, Nutrition & Population Control", Labor and Employment, Housing and Community Development, Social Services and Social Welfare, TOTAL SOCIAL SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, General Fund, Special Education Fund, Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CAR,Abra,Abra,Province,4.07,6.91,10.98,1.57,3.28,15.83,0.74,54.37,0.00,0.83,55.95,71.77,"1,546.56",0.00,0.00,0.00,"1,546.56","1,618.34",292.46,87.91,349.13,0.00,0.00,121.87,558.91,200.53,11.49,"1,063.39",554.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.99,1.99,103.30,0.00,0.00,103.30,59.37,0.00,59.37,0.00,162.67,394.27,"1,570.77","1,965.04",24.99,626.81,"1,313.24"
,CAR,Apayao,Apayao,Province,4.24,6.05,10.29,9.81,0.50,20.60,3.21,61.96,53.05,4.04,122.26,142.86,"1,420.49",0.03,1.59,0.29,"1,422.40","1,565.25",344.72,107.53,154.87,0.00,0.00,86.84,349.25,144.64,0.00,838.61,726.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.79,23.79,235.16,0.00,0.00,235.16,0.00,0.00,0.00,0.00,235.16,515.28,"1,676.70","2,191.98",514.99,250.58,"1,426.41"
,CAR,Benguet,Benguet,Province,43.99,46.70,90.68,5.27,22.58,118.53,1.23,102.02,445.45,13.38,562.08,680.61,"1,574.36",46.86,0.00,0.43,"1,621.65","2,302.26",558.47,35.92,256.23,0.00,0.00,107.90,400.05,581.48,0.00,"1,540.00",762.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,362.20,0.00,0.00,362.20,0.00,0.00,0.00,0.00,362.20,400.06,"1,213.94","1,614.00",450.92,190.01,973.08
,CAR,Ifugao,Ifugao,Province,12.06,11.73,23.79,3.59,1.44,28.82,1.09,162.12,3.00,1.76,167.97,196.79,"1,253.48",10.56,0.00,0.00,"1,264.04","1,460.83",330.12,9.82,409.20,0.00,0.00,34.43,453.45,96.96,27.83,908.37,552.46,0.00,0.00,0.00,0.00,81.43,0.00,81.43,6.44,87.87,216.95,0.00,0.00,216.95,33.37,0.00,33.37,0.00,250.32,390.01,971.64,"1,361.65",67.10,98.40,"1,196.15"
,CAR,Kalinga,Kalinga,Province,1.39,1.99,3.38,11.46,2.02,16.86,6.48,277.82,0.00,7.70,292.00,308.86,"1,372.39",0.10,0.00,0.89,"1,373.39","1,682.25",460.10,0.50,481.35,0.00,0.00,34.50,516.36,101.43,39.95,"1,117.84",564.42,0.00,0.00,0.00,0.00,173.75,0.00,173.75,0.00,173.75,139.35,0.00,0.00,139.35,41.05,0.00,41.05,0.00,180.41,557.76,751.66,"1,309.42",350.10,60.58,898.74
,CAR,Mountain Province,Mountain Province,Province,7.69,10.66,18.34,2.36,0.53,21.24,0.10,179.18,0.00,2.06,181.34,202.58,"1,122.74",3.11,0.00,0.00,"1,125.85","1,328.43",292.92,11.19,314.41,0.00,0.00,95.63,421.22,188.90,22.51,925.55,402.88,0.00,0.00,0.00,0.00,162.40,0.00,162.40,0.00,162.40,314.65,0.00,0.00,314.65,77.46,0.00,77.46,0.00,392.11,173.17,407.62,580.79,143.09,130.84,306.86
,Region I,Ilocos Norte,Ilocos Norte,Province,80.89,115.55,196.44,22.90,4.46,223.80,17.71,221.79,0.00,18.10,257.60,481.40,"1,863.51","1,762.87",0.00,0.21,"3,626.58","4,107.99",624.71,251.64,568.66,0.00,0.00,96.83,917.13,587.60,76.10,"2,205.54","1,902.45",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.62,0.00,0.00,42.62,111.95,0.00,111.95,0.00,154.57,"1,747.88","2,437.04","4,184.92",58.97,436.05,"3,689.90"
,Region I,Ilocos Sur,Ilocos Sur,Province,23.18,29.90,53.08,283.36,5.25,341.68,21.36,580.05,0.00,89.01,690.42,"1,032.10","1,837.61","6,901.57",4.17,0.00,"8,743.36","9,775.46",712.73,52.41,780.85,0.00,0.00,410.92,"1,244.18",754.94,0.00,"2,711.85","7,063.61",0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.54,12.54,"1,597.91",0.00,0.00,"1,597.91",0.00,0.00,0.00,661.92,"2,259.83","4,816.33","6,119.89","10,936.22","1,320.35","1,659.65","7,956.21"
,Region I,La Union,La Union,Province,60.12,85.88,146.00,21.80,19.34,187.15,20.11,51.51,384.58,25.54,481.75,668.90,"1,806.96","1,226.30",0.00,0.00,"3,033.26","3,702.16",722.72,36.05,219.04,0.00,0.00,196.97,452.06,555.79,13.07,"1,743.64","1,958.52",0.00,0.00,11.68,11.68,45.23,0.00,45.23,108.60,165.51,164.53,0.00,0.00,164.53,33.25,0.00,33.25,441.36,639.14,"1,484.89","3,200.12","4,685.01",678.76,333.87,"3,672.37"
,Region I,Pangasinan,Pangasinan,Province,198.73,283.81,482.54,259.01,84.30,825.84,49.03,590.31,0.00,27.79,667.13,"1,492.98","4,969.15",487.74,0.00,10.60,"5,467.49","6,960.47","1,375.34","1,435.57","1,632.05",10.69,99.77,201.69,"3,379.77",440.65,29.67,"5,225.43","1,735.04",0.00,0.00,0.00,0.00,907.94,0.00,907.94,226.11,"1,134.05","2,023.66",0.00,0.00,"2,023.66",145.69,0.00,145.69,0.00,"2,169.35",699.73,"5,213.26","5,912.99",1.23,905.04,"5,006.73"
